Class,IoU,F1,Precision,Recall (PA),Accuracy
Background,0.9755,0.9876,0.9972,0.9782,0.9756
Water,0.1419,0.2486,0.1561,0.6095,0.9758
Debris,0.0000,0.0000,0.0000,0.0000,1.0000
Algae/Sargassum,0.0000,0.0000,0.0000,0.0000,0.9999
Other,0.1821,0.3080,0.3661,0.2658,0.9999
Average,0.2599,0.3088,0.3039,0.3707,0.9756
