Class,IoU,F1,Precision,Recall (PA),Accuracy
Background,0.9249,0.9610,0.9972,0.9273,0.9252
Water,0.1336,0.2356,0.1465,0.6026,0.9743
Debris,0.0037,0.0073,0.0037,0.7612,0.9967
Algae/Sargassum,0.0020,0.0040,0.0020,0.9555,0.9666
Other,0.0039,0.0078,0.0039,0.7149,0.9875
Average,0.2136,0.2431,0.2307,0.7923,0.9252
