Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.6756,0.8064,0.7164,0.9223,0.7826
Sargassum/Veg,0.5918,0.7435,0.8985,0.6342,0.7852
Natural Phenom/Foam,0.3956,0.5669,0.4404,0.7953,0.9977
Ship/Infrastructure,0.8650,0.9276,0.9182,0.9372,0.9988
Water/Other,0.5538,0.7128,0.6498,0.7894,0.9950
Average,0.6164,0.7515,0.7247,0.8157,0.7796
