epoch,train_loss,val_loss,val_miou,val_f1,val_recall,val_precision,best_val_loss,best_val_miou,best_epoch,best_model_path
38,0.470488,0.485286,0.244478,0.290026,0.411590,0.268392,0.485286,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
39,0.469147,0.488996,0.246215,0.288537,0.374494,0.279034,0.485286,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
40,0.472828,0.482166,0.242361,0.287392,0.437630,0.258972,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
41,0.469244,0.487433,0.243443,0.284369,0.394924,0.257032,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
42,0.471089,0.485548,0.246362,0.291208,0.409911,0.265446,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
43,0.470392,0.487820,0.246038,0.289202,0.386182,0.271439,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
44,0.471642,0.487189,0.249788,0.294961,0.388934,0.275785,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
45,0.469986,0.487163,0.250348,0.296598,0.393176,0.283535,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
46,0.471103,0.484405,0.244023,0.289775,0.415744,0.267598,0.482166,0.250771,35,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
47,0.468572,0.484681,0.255347,0.304633,0.406997,0.286298,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
48,0.468665,0.486936,0.234433,0.277064,0.394981,0.272106,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
49,0.469014,0.488178,0.239308,0.281428,0.389424,0.270173,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
50,0.467316,0.488830,0.253256,0.298736,0.365092,0.304600,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
51,0.468597,0.482877,0.243941,0.290532,0.430602,0.265578,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
52,0.468000,0.484643,0.248720,0.296759,0.410254,0.283418,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
53,0.463992,0.486230,0.242308,0.288272,0.396684,0.294757,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
54,0.468415,0.485246,0.248847,0.296396,0.400126,0.291059,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
55,0.467870,0.489951,0.235189,0.273974,0.375378,0.283219,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
56,0.467612,0.483118,0.247347,0.295281,0.416656,0.277981,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
57,0.466131,0.490591,0.239359,0.277739,0.363854,0.295777,0.482166,0.255347,47,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
58,0.468176,0.487704,0.257423,0.304908,0.364547,0.300119,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
59,0.466781,0.485938,0.241045,0.285545,0.401431,0.272439,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
60,0.466967,0.492760,0.222793,0.253178,0.362217,0.329883,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
61,0.466403,0.491952,0.232306,0.266572,0.364280,0.319133,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
62,0.470570,0.487057,0.246943,0.292846,0.390903,0.297027,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
63,0.464386,0.492381,0.234829,0.268228,0.351497,0.327107,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
64,0.467157,0.492001,0.238242,0.273967,0.355511,0.332849,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
