Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.9796,0.9897,1.0000,0.9796,0.9934
Sargassum/Veg,0.5473,0.7074,0.7658,0.6573,0.8236
Natural Phenom/Foam,0.0014,0.0028,0.0021,0.0041,0.9812
Ship/Infrastructure,0.4071,0.5786,0.5063,0.6750,0.9803
Water/Other,0.5910,0.7429,0.7024,0.7884,0.8229
Average,0.5053,0.6043,0.5953,0.6209,0.8007
