Class,IoU,F1,Precision,Recall (PA),Accuracy
Background,0.9896,0.9948,0.9914,0.9982,0.9896
Water,0.0000,0.0000,0.0000,0.0000,0.9929
Debris,0.0002,0.0004,0.0002,0.0103,0.9989
Algae/Sargassum,0.0000,0.0000,0.0000,0.0000,0.9999
Other,0.0004,0.0009,0.0015,0.0006,0.9979
Average,0.1980,0.1992,0.1986,0.2018,0.9896
