Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.9914,0.9957,0.9914,1.0000,0.9914
Sargassum/Veg,0.0000,0.0000,0.0000,0.0000,0.9930
Natural Phenom/Foam,0.0000,0.0000,0.0000,0.0000,1.0000
Ship/Infrastructure,0.0000,0.0000,0.0000,0.0000,0.9999
Water/Other,0.0000,0.0000,0.0000,0.0000,0.9985
Average,0.1983,0.1991,0.1983,0.2000,0.9914
