Class,IoU,F1,Precision,Recall (PA),Accuracy
Background,0.9996,0.9998,1.0000,0.9996,0.9996
Water,0.7539,0.8597,0.9321,0.7977,0.9982
Debris,0.2746,0.4308,0.3139,0.6865,1.0000
Algae/Sargassum,0.6597,0.7950,0.9439,0.6866,1.0000
Other,0.4201,0.5916,0.4490,0.8671,0.9982
Average,0.6216,0.7354,0.7278,0.8075,0.9980
