Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.9996,0.9998,1.0000,0.9996,0.9998
Sargassum/Veg,0.7302,0.8441,0.9099,0.7872,0.8911
Natural Phenom/Foam,0.4175,0.5891,0.5348,0.6557,0.9967
Ship/Infrastructure,0.6617,0.7964,0.9779,0.6717,0.9960
Water/Other,0.6612,0.7960,0.7226,0.8861,0.8928
Average,0.6940,0.8051,0.8290,0.8001,0.8882
