Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.9996,0.9998,1.0000,0.9996,0.9999
Sargassum/Veg,0.6939,0.8193,0.8206,0.8180,0.8829
Natural Phenom/Foam,0.2732,0.4291,0.7727,0.2970,0.9950
Ship/Infrastructure,0.6083,0.7564,0.9829,0.6148,0.9921
Water/Other,0.6838,0.8122,0.7971,0.8279,0.8757
Average,0.6517,0.7634,0.8747,0.7115,0.8728
