Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.9996,0.9998,1.0000,0.9996,0.9998
Sargassum/Veg,0.7094,0.8300,0.9085,0.7640,0.8829
Natural Phenom/Foam,0.3626,0.5322,0.4508,0.6495,0.9958
Ship/Infrastructure,0.6466,0.7854,0.9624,0.6633,0.9958
Water/Other,0.6316,0.7742,0.6940,0.8754,0.8795
Average,0.6700,0.7843,0.8031,0.7904,0.8769
