Class,IoU,F1,Precision,Recall (PA),Accuracy
Background,0.9996,0.9998,1.0000,0.9996,0.9996
Water,0.7830,0.8783,0.9349,0.8282,0.9984
Debris,0.3868,0.5578,0.4698,0.6865,1.0000
Algae/Sargassum,0.6797,0.8093,0.9321,0.7151,1.0000
Other,0.4487,0.6194,0.4817,0.8674,0.9984
Average,0.6596,0.7729,0.7637,0.8194,0.9982
