Class,IoU,F1,Precision,Recall (PA),Accuracy
Marine Debris,0.6786,0.8085,0.7239,0.9156,0.7908
Sargassum/Veg,0.6156,0.7621,0.8904,0.6661,0.7993
Natural Phenom/Foam,0.1474,0.2569,0.2565,0.2572,0.9945
Ship/Infrastructure,0.7836,0.8787,0.9798,0.7965,0.9965
Water/Other,0.4810,0.6495,0.7358,0.5814,0.9903
Average,0.5412,0.6711,0.7173,0.6433,0.7857
